cerberus-lean-proj env: switch=/home/dev/projects/cerberus-lean-proj/cerberus-lean/_opam, git redirects active
'CerberusHeapLang.wpt_t6Load' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.t6Q_case1' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.t6Q_case2' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.t6Q_default' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.t6Q_break' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.t6Q_ret' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.wpt_t6AssignStmt' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.t6Q_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.t6Q_lookup' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.t6Q_cont' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.t6RetParams_bindArgs' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.t6PtrParams_bindArgs' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.t6Kill_eq' does not depend on any axioms
'CerberusHeapLang.wpt_t6Return' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.wpt_t6Break' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.wpt_t6Case2' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.t6_blockSpecsT' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.wpt_t6Switch' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.t6_wpt' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.t6DefaultTail_frag' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.t6Case2Tail_frag' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.t6CaseContext_frag' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.t6Q_frag' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.t6Q_pot' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.collect_new_t6Main' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.t6Main_labeledAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.t6Main_pot' depends on axioms: [propext]
'CerberusHeapLang.t6_certified_production' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.SymMap.addLabel' depends on axioms: [propext, Classical.choice, Quot.sound]
'CerberusHeapLang.labelAdd_lookup' depends on axioms: [propext, Classical.choice, Quot.sound]
